UNEMP,area
3.73, 02001
3.01, 02002
3.42, 02003
4.53, 02004
3.19, 02005
2.86, 02006
3.71, 02007
4.57, 02008
3.81, 02009
3.44, 02010
3.15, 02011
3.37, 02012
2.83, 02013
3.11, 02014
3.42, 02015
4.74, 06028
4.47, 06035
5.04, 06091
4.95, 06260
5.26, 06270
5.51, 06274
3.92, 06371
4.63, 06408
4.5, 06410
4.55, 06412
5.01, 06427
4.36, 06434
4.13, 06490
4.79, 06515
4.72, 06539
5.15, 06560
4.16, 06568
4.58, 06658
3.91, 06749
4.22, 06756
4.15, 06760
4.31, 06805
3.77, 06840
3.01, 06861
3.79, 06007
2.6, 06014
1.81, 06021
2.47, 06042
3.11, 06049
4.04, 06056
3.49, 06063
3.57, 06070
3.01, 06077
3.43, 06084
4.22, 06098
2, 06105
2.68, 06112
3.1, 06119
3.85, 06126
3.47, 06134
2.46, 06140
2.15, 06147
1.47, 06154
2.4, 06161
2.83, 06168
3.82, 06175
4.12, 06182
2.96, 06189
3.44, 06196
2.06, 06203
2.13, 06210
3.53, 06217
3.79, 06224
2.2, 06231
2.74, 06238
4.35, 06245
4.76, 06252
2.94, 06266
2.06, 06277
3.57, 06280
2.35, 06287
2, 06294
2.71, 06301
1.68, 06308
3.1, 06315
2.85, 06322
2.93, 06329
3.14, 06336
2.48, 06343
2.54, 06351
4.28, 06357
3.86, 06364
2.46, 06385
2.21, 06392
2.41, 06399
2.02, 06406
3.05, 06413
3.85, 06420
3.7, 06441
2.29, 06448
2.01, 06455
2.48, 06462
2.28, 06469
2.26, 06476
2.78, 06483
3.78, 06497
2.96, 06505
2.35, 06511
3.66, 06518
3.92, 06525
4.19, 06532
2.54, 06547
2.54, 06553
2.03, 06574
4.12, 06581
2.72, 06588
3.27, 06595
3.62, 06602
2.78, 06609
1.99, 06616
3.92, 06623
2.07, 06630
4.08, 06638
4.33, 06644
4.66, 06648
1.99, 06651
3.15, 06655
3.43, 06665
1.95, 06672
2.37, 06679
3.27, 06686
1.6, 06693
2.65, 06700
2.07, 06707
2.6, 06714
2.16, 06721
2.14, 06728
2.38, 06735
2.45, 06742
4.18, 06763
4.56, 06770
4.59, 06778
2.61, 06784
3.97, 06791
2.01, 06798
2.28, 06812
2.68, 06819
2.46, 06826
2.9, 06833
2.27, 06847
2.42, 06854
3.98, 06868
5.55, 06875
3.3, 06882
